,Is your research data automatically backed up?,Did you lose any research data in the past year?,You said you lost research data in the past year. How much time did you lose?,How frequently do you have problems finding a specific research data file in your collection?,"Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?",You said that you are currently using tools for data management. What are these tool(s)?,Would you be interested in trying out a dedicated tool for research data management?,Does your project have a data management plan?,Do you know who owns the research data that you are creating?,You said you know who owns the research data that you are creating. Who is it?,Who do you think is responsible for the stewardship of research data resulting from your project?,"Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?",Are you aware of research data repositories?,Please provide us with the name(s) of the repository(ies) that you are using,Please indicate if you (or related staff / students) would be interested in any potential training on research data management,Which institution are you from?,Have you heard about dedicated support for research data management at EPFL?,"Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]","Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]","Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]",Do you share data files associated with your publications?,Please specify where you share your data,What is your position?,"Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?",Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?,Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?,What is your position?,Which faculty are you from?
517,Yes,No,,Sometimes,Yes,,,Yes,Not sure,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Assistant Professor,LR - Aerospace Engineering
518,No,No,,Almost never,Yes,,,No,No,,My university/institution;My funding agency,No,"No, I have no idea what these are",,General introduction to research data management;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,No,Yes,No,PhD student,LR - Aerospace Engineering
519,No,No,,Sometimes,Yes,,,No,No,,Myself;My university/institution,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software,TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,LR - Aerospace Engineering
520,No,Yes,Less than 1 day,Almost never,Yes,,,Not sure,Yes,,I do not know who is formally responsible apart from myself;but I would certainly not want an academic supervisor to be in charge of data stewardship. Plagiarism risks would further increase;and probably lead to an impossible situation.,Not sure,"Yes, I am already using them to find existing datasets or to share my own data",,Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,LR - Aerospace Engineering
521,No,Yes,7 days - 1 month,Sometimes,No,,Yes,No,Not sure,,Not sure,No,Not sure,,General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Assistant Professor,LR - Aerospace Engineering
522,No,No,,Sometimes,No,,Yes,Not sure,Not sure,,Myself;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,LR - Aerospace Engineering
523,No,No,,Almost never,No,,No,No,Yes,,Myself;My supervisor,No,"No, I have no idea what these are",,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,No,PhD student,LR - Aerospace Engineering
524,Not sure,No,,Sometimes,No,,Not sure,Not sure,Yes,,Myself,No,Not sure,,General introduction to research data management;Data backup and storage solutions;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Full Professor,LR - Aerospace Engineering
525,Yes,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor;My funding agency;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
526,Not sure,No,,Never,No,,No,Not sure,Not sure,,Myself,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software,TU Delft,,,,,,,,,,,,,,,,,No,No,No,Full Professor,LR - Aerospace Engineering
527,Yes,Yes,1 month - 6 months,Almost never,Not sure,,Yes,Yes,Not sure,,Myself;My funding agency,Yes,"Yes, I am already using them to find existing datasets or to share my own data",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,Not sure,PhD student,LR - Aerospace Engineering
528,No,No,,Almost never,No,,Yes,No,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,PhD student,LR - Aerospace Engineering
529,Yes,No,,Almost never,No,,No,No,Yes,,Myself;My unit's IT manager;My university/institution,Not sure,Not sure,,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,No,PhD student,LR - Aerospace Engineering
530,No,No,,Never,Yes,,,No,Yes,,Myself,No,Not sure,,Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,LR - Aerospace Engineering
531,Not sure,No,,Almost never,No,,Yes,No,Not sure,,Myself;My supervisor;My unit's IT manager;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
532,Yes,No,,Almost never,Not sure,,Not sure,No,No,,Myself,Not sure,Not sure,,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Not sure,Guest researcher,CiTG - Civil Engineering and Geosciences
533,Yes,No,,Sometimes,No,,Yes,Not sure,Yes,,Myself,Not sure,Not sure,,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,Not sure,PhD student,LR - Aerospace Engineering
534,Yes,No,,Sometimes,No,,Yes,No,Yes,,Myself;My supervisor;My unit's IT manager;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data backup and storage solutions;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,Yes,PhD student,CiTG - Civil Engineering and Geosciences
535,No,No,,Almost never,Yes,,,No,Not sure,,Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Not sure,PhD student,LR - Aerospace Engineering
536,Yes,No,,Sometimes,Yes,,,No,Yes,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Associate Professor,LR - Aerospace Engineering
537,No,No,,Almost never,No,,Not sure,No,No,,Myself,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,CiTG - Civil Engineering and Geosciences
538,Yes,No,,Never,No,,Not sure,No,Not sure,,Myself;My supervisor,Not sure,Not sure,,Organising folders and files;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,CiTG - Civil Engineering and Geosciences
539,No,No,,Frequently,No,,Yes,Yes,Not sure,,Myself;My unit's IT manager,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,Yes,Assistant Professor,CiTG - Civil Engineering and Geosciences
540,Yes,No,,Sometimes,Yes,,,Yes,Yes,,Myself;My university/institution,No,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Assistant Professor,LR - Aerospace Engineering
541,Yes,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor;My university/institution,Yes,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,PhD student,LR - Aerospace Engineering
542,Yes,No,,Almost never,No,,Yes,Not sure,Yes,,Myself;My unit's IT manager;My university/institution,No,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Data backup and storage solutions;Data ownership and licensing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Assistant Professor,LR - Aerospace Engineering
543,Yes,No,,Almost never,No,,Yes,No,No,,Myself;My supervisor;My funding agency,No,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,CiTG - Civil Engineering and Geosciences
544,Yes,No,,Sometimes,No,,Not sure,No,No,,Myself,No,"No, I have no idea what these are",,Organising folders and files;How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,LR - Aerospace Engineering
545,No,No,,Almost never,No,,Yes,Not sure,Yes,,Myself;My supervisor,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Yes,Assistant Professor,LR - Aerospace Engineering
546,Yes,No,,Almost never,No,,Yes,No,No,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,CiTG - Civil Engineering and Geosciences
547,Not sure,Yes,1 day - 7 days,Sometimes,No,,Yes,No,No,,No research data involved,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,research assistant,"EWI - Electrical Engineering, Mathematics and Computer Science"
548,No,Yes,1 day - 7 days,Never,Yes,,,Not sure,Yes,,My university/institution,No,"No, I have no idea what these are",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,No,No,No,MSc student,"EWI - Electrical Engineering, Mathematics and Computer Science"
549,Yes,No,,Almost never,Yes,,,Yes,Yes,,Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Yes,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Masters Student,"EWI - Electrical Engineering, Mathematics and Computer Science"
550,Yes,No,,Very frequently,Yes,,,Not sure,Yes,,My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
551,No,Yes,1 day - 7 days,Sometimes,Yes,,,No,Not sure,,Myself;Project partner (e.g. commercial company or a collaborator),Not sure,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,Student,"EWI - Electrical Engineering, Mathematics and Computer Science"
552,Yes,Yes,Less than 1 day,Almost never,Yes,,,No,Not sure,,Myself;My supervisor;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;How to use repositories for data sharing and searching for existing datasets;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,MSc student,"EWI - Electrical Engineering, Mathematics and Computer Science"
553,Not sure,No,,Almost never,Yes,,,Not sure,Yes,,Not sure,No,"No, I have no idea what these are",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Not sure,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
554,Yes,No,,Never,Yes,,,No,Yes,,Myself;My university/institution,No,"No, I have no idea what these are",,General introduction to research data management;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,MsC,"EWI - Electrical Engineering, Mathematics and Computer Science"
555,Yes,Yes,7 days - 1 month,Sometimes,No,,Yes,Not sure,Yes,,Myself,Yes,Not sure,,General introduction to research data management;Data backup and storage solutions;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Not sure,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
556,Yes,No,,Sometimes,Yes,,,Yes,Yes,,Myself;My supervisor,Yes,Not sure,,Organising folders and files,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Yes,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
557,Yes,No,,Sometimes,Yes,,,No,Yes,,Myself;My supervisor;My university/institution;My funding agency,No,Not sure,,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
558,No,No,,Almost never,Yes,,,No,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
559,Yes,Yes,7 days - 1 month,Sometimes,No,,Yes,Yes,Yes,,Myself;My unit's IT manager;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,CiTG - Civil Engineering and Geosciences
560,No,No,,Sometimes,Yes,,,No,Yes,,My university/institution,No,"Yes, I am already using them to find existing datasets or to share my own data",,Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
561,No,No,,Almost never,No,,Not sure,Not sure,Not sure,,My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,No,Assistant Professor,"EWI - Electrical Engineering, Mathematics and Computer Science"
562,Yes,No,,Almost never,Yes,,,Yes,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
563,Yes,No,,Almost never,Yes,,,Yes,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
564,No,No,,Sometimes,No,,Yes,No,Yes,,Myself,No,"No, I have no idea what these are",,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,No,Not sure,No,External researcher,"EWI - Electrical Engineering, Mathematics and Computer Science"
565,Yes,Not sure,,Sometimes,No,,Yes,Not sure,Yes,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,No,Not sure,Yes,PhD student,CiTG - Civil Engineering and Geosciences
566,Yes,No,,Almost never,No,,Yes,No,Yes,,Myself;My university/institution,Yes,"Yes, I am already using them to find existing datasets or to share my own data",,Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,PhD student,CiTG - Civil Engineering and Geosciences
567,No,No,,Almost never,No,,Not sure,Not sure,Not sure,,My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,Not sure,Not sure,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
568,Yes,No,,Almost never,Yes,,,Yes,Yes,,Myself;My university/institution;Project partner (e.g. commercial company or a collaborator),No,Not sure,,General introduction to research data management;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
569,Yes,No,,Almost never,No,,No,Yes,Yes,,Myself;My supervisor;My unit's IT manager;My university/institution,No,"Yes, I am already using them to find existing datasets or to share my own data",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Yes,Support Staff,"EWI - Electrical Engineering, Mathematics and Computer Science"
570,No,No,,Almost never,Yes,,,Not sure,Not sure,,Myself;My supervisor,No,"No, I have no idea what these are",,Organising folders and files,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Yes,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
571,No,No,,Never,Yes,,,No,Not sure,,Myself;My supervisor,Yes,"No, I have no idea what these are",,General introduction to research data management;Data ownership and licensing;Using version control software;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,"EWI - Electrical Engineering, Mathematics and Computer Science"
572,Yes,No,,Almost never,Yes,,,Yes,Yes,,Myself,No,"No, I have no idea what these are",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Yes,Assistant Professor,"EWI - Electrical Engineering, Mathematics and Computer Science"
573,Yes,Not sure,,Frequently,Yes,,,Not sure,Not sure,,Myself;My supervisor;My unit's IT manager,Not sure,"Yes, I am already using them to find existing datasets or to share my own data",,How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,No,Yes,Postdoc/Researcher,"EWI - Electrical Engineering, Mathematics and Computer Science"
574,Yes,No,,Almost never,Yes,,,No,Not sure,,My unit's IT manager;My university/institution;My funding agency,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
575,No,Not sure,,Almost never,No,,No,No,Yes,,What does stewardship really mean?,No,"Yes, I am aware of research data repositories, but I have not used them",,As so often with surveys;many of the questions are badly formulated (e.g. ambiguous). Here;I should not tick any box;because I am interested in none;but the survey does not allow that.,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Not sure,Full Professor,"EWI - Electrical Engineering, Mathematics and Computer Science"
576,Yes,No,,Sometimes,Yes,,,No,Yes,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Yes,Full Professor,"EWI - Electrical Engineering, Mathematics and Computer Science"
577,Yes,No,,Almost never,Yes,,,No,Not sure,,Myself,No,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,No,Not sure,Assistant Professor,"EWI - Electrical Engineering, Mathematics and Computer Science"
578,Not sure,Not sure,,Sometimes,Yes,,,Yes,Yes,,Myself;My university/institution;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Not sure,Not sure,Yes,Full Professor,"EWI - Electrical Engineering, Mathematics and Computer Science"
579,No,No,,Almost never,Yes,,,Not sure,Yes,,Myself;My university/institution;My funding agency,No,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,Assistant Professor,"EWI - Electrical Engineering, Mathematics and Computer Science"
580,Not sure,No,,Never,No,,Not sure,No,Not sure,,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,No,No,No,Postdoc/Researcher,LR - Aerospace Engineering
581,Yes,No,,Never,Yes,,,Not sure,Yes,,Myself;My supervisor,No,"No, I have no idea what these are",,Organising folders and files,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,LR - Aerospace Engineering
582,No,No,,Almost never,No,,Yes,No,Yes,,Myself;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Associate Professor,LR - Aerospace Engineering
583,Yes,No,,Never,Yes,,,No,Not sure,,Myself;My funding agency;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am already using them to find existing datasets or to share my own data",,Data management plan preparation;Data backup and storage solutions;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,Assistant Professor,LR - Aerospace Engineering
584,No,No,,Sometimes,Not sure,,Yes,No,Not sure,,Myself;My unit's IT manager;My university/institution,Not sure,Not sure,,Organising folders and files;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,LR - Aerospace Engineering
585,No,No,,Sometimes,No,,Yes,No,Yes,,Myself;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Not sure,Assistant Professor,LR - Aerospace Engineering
586,No,Yes,Less than 1 day,Almost never,No,,No,No,No,,Not sure,No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,LR - Aerospace Engineering
587,Not sure,Not sure,,Almost never,Not sure,,Not sure,Not sure,Not sure,,Not sure,Not sure,Not sure,,General introduction to research data management;Organising folders and files;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Not sure,PhD student,LR - Aerospace Engineering
588,No,No,,Never,No,,Yes,Not sure,Not sure,,Myself;My unit's IT manager,Not sure,"No, I have no idea what these are",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,LR - Aerospace Engineering
589,Yes,No,,Almost never,No,,Yes,No,Yes,,Myself,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,No,No,Not sure,PhD student,LR - Aerospace Engineering
